college_name,branch_name,tnea_code,category,cutoff_2024,nirf_rank_2024
"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600025",BIO MEDICAL ENGINEERING (SS),1,OC,139.3333,999
"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600025",CIVIL ENGINEERING,1,OC,184,999
"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600025",COMPUTER SCIENCE AND ENGINEERING (SS),1,OC,198,999
"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600025",COMPUTER SCIENCE AND ENGINEERING,1,OC,199,999
"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600025",ELECTRONICS AND COMMUNICATION ENGINEERING,1,OC,198,999
"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600025",ELECTRICAL AND ELECTRONICS ENGINEERING,1,OC,189.5,999
"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600025",Electronics Engineering (VLSI Design and Technology) (SS),1,OC,174,999
"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600025",ELECTRONICS AND COMMUNICATION ENGINEERING (SS),1,OC,190,999
"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600025",INDUSTRIAL ENGINEERING,1,OC,185,999
"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600025",INFORMATION TECHNOLOGY (SS),1,OC,197,999
"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600025",INFORMATION TECHNOLOGY (SS),1,BC,196.5,999
"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600025",INFORMATION TECHNOLOGY (SS),1,BCM,187,999
"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600025",MATERIAL SCIENCE AND ENGINEERING (SS),1,OC,164,999
"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600025",MECHANICAL ENGINEERING,1,OC,188.5,999
"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600025",MECHANICAL ENGINEERING,1,BC,188,999
"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600025",MINING ENGINEERING,1,OC,159,999
"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600025",MANUFACTURING ENGINEERING,1,OC,186.5,999
"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600025",PRINTING & PACKING TECHNOLOGY,1,OC,150,999
"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600025",CIVIL ENGINEERING (TAMIL MEDIUM),1,OC,141.5,999
"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600025",MECHANICAL ENGINEERING (TAMIL MEDIUM),1,OC,171.5,999
