College Code,College Name,Branch Code,Branch Name,OC,BC,BCM,MBC,SC,SCA,ST
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600025",BY,"BIO MEDICAL ENGINEERING (SS)",139.3333,,,,,,
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600025",CE,"CIVIL ENGINEERING",184,,,,,,
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600025",CM,"COMPUTER SCIENCE AND ENGINEERING (SS)",198,,,,,,
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600025",CS,"COMPUTER SCIENCE AND ENGINEERING",199,,,,,,
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600025",EC,"ELECTRONICS AND COMMUNICATION ENGINEERING",198,,,,,,
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600025",EE,"ELECTRICAL AND ELECTRONICS ENGINEERING",189.5,,,,,,
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600025",EL,"Electronics Engineering (VLSI Design and Technology) (SS)",174,,,,,,
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600025",EM,"ELECTRONICS AND COMMUNICATION ENGINEERING (SS)",190,,,,,,
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600025",IE,"INDUSTRIAL ENGINEERING",185,,,,,,
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600025",IM,"INFORMATION TECHNOLOGY (SS)",197,196.5,187,,,,,
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600025",MA,"MATERIAL SCIENCE AND ENGINEERING (SS)",164,,,,,,
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600025",ME,"MECHANICAL ENGINEERING",188.5,188,,,,,
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600025",MI,"MINING ENGINEERING",159,,,,,,
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600025",MN,"MANUFACTURING ENGINEERING",186.5,,,,,,
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600025",PT,"PRINTING & PACKING TECHNOLOGY",150,,,,,,
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600025",XC,"CIVIL ENGINEERING (TAMIL MEDIUM)",141.5,,,,,,
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600025",XM,"MECHANICAL ENGINEERING (TAMIL MEDIUM)",171.5,,,,,,
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600025",CH,"CHEMICAL ENGINEERING",175,,,,,,
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600025",CL,"CHEMICAL ENGINEERING (SS)",131,,,,,,
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600025",CR,"CERAMIC TECHNOLOGY (SS)",151.5,,,,,,
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600025",FS,"FOOD TECHNOLOGY (SS)",131.5,,,,,,
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600025",LE,"LEATHER TECHNOLOGY",135.5,,,,,,
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600025",PP,"PETROLEUM ENGINEERING AND TECHNOLOGY (SS)",172,,,,,,
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600025",TX,"TEXTILE TECHNOLOGY",168,,,,,,
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600044",AE,"AERONAUTICAL ENGINEERING",168.5,,,,,,
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600044",AT,"ARTIFICIAL INTELLIGENCE AND DATA SCIENCE (SS)",182,,,,,,
